x,y,zipcode
991545.664091,215846.283974,10055
988002.916995,218132.173994,10019
990456.691175,215843.124484,10111
991880.416402,217490.021412,10153
991887.687316,215352.548317,10154
991971.435386,215601.997841,10152
994287.396841,234695.172635,10115
993068.309964,215629.259399,10022
1016746.91828,227523.913137,11370
994564.466986,217824.282197,10065
996619.366114,220961.409174,10075
987146.080419,222210.737484,10069
980010.981355,198810.110108,10281
979966.744456,200244.785941,10282
999189.451272,199430.810045,11211
1017941.21548,208485.104678,11373
981934.623943,198847.505273,10279
990116.182366,213301.528845,10165
990712.574738,212964.375466,10168
990055.567851,217257.41203,10105
988205.387088,211958.693394,10118
990105.558383,214492.083411,10176
990933.630416,213495.973429,10170
989882.643841,215862.541873,10112
986548.703537,213203.525411,10122
989088.65673,218452.1858,10107
990703.380699,216300.631135,10103
991087.257274,213107.759576,10174
990718.313134,213804.340385,10166
990867.46665,214120.09702,10169
991254.545346,214208.137819,10167
990905.414978,214401.329839,10177
991375.57256,214429.300085,10172
991403.733287,214720.911944,10171
982107.857715,196662.537597,10270
990101.534664,216337.181893,10104
981329.408429,197304.718851,10271
989459.237853,213954.24599,10110
989843.75029,214039.715752,10175
991680.125847,217346.496556,10151
990082.312255,213963.506526,10173
990414.095004,212844.664799,10178
986432.139935,212505.572633,10121
986812.197998,213056.285134,10123
989548.353589,218124.889971,10106
991149.7136,212143.864323,10158
981709.358489,195462.651218,10041
987298.070136,212450.851743,10120
983102.264931,199906.267871,10278
993134.674184,216538.042285,10155
982310.710866,195853.600164,10043
981761.185859,197166.386975,10081
989047.768131,214233.844592,10096
988445.865506,216957.958885,10097
989236.375111,215028.329125,10196
989431.396933,214980.487343,10196
980366.731871,196405.204333,10275
982038.208864,196179.177588,10265
981844.486199,197361.428519,10045
988041.400676,208697.187902,10047
988041.400676,208697.187902,10047
980891.58206,198183.967144,10080
980981.884646,196907.377114,10203
981472.5386,197445.249668,10259
981894.133104,196577.926162,10260
980131.049244,199247.653735,10285
981726.462014,196663.73459,10286
1005129.6008,227470.941707,10035
1019311.58736,221455.387879,11371
1047330.35699,217784.294897,11361
987064.644478,215928.829601,10036
1027255.09368,179136.970959,11414
952154.315847,170046.546315,10310
1028655.62635,168862.387008,11693
994553.978686,199049.367656,11249
997735.1938,219676.996963,10162
986369.730528,212984.16465,10119
