,RegionName,City,State,Metro,CountyName,SizeRank,_2016_01,_2016_02,_2016_03,_2016_04,_2016_05,_2016_06,_2016_07,_2016_08,_2016_09,_2016_10,_2016_11,_2016_12,_2017_01,kind
30,10069,New York,NY,New York,New York,86,2855.0,2850.0,2847.5,2860.0,2900.0,2847.5,2585.0,2915.0,2860.0,2860.0,2850.0,2815.0,2760.0,studio
32,11216,New York,NY,New York,Kings,42,1550.0,1599.0,1600.0,1550.0,1712.5,1625.0,1750.0,1725.0,1800.0,1900.0,1875.0,1550.0,1700.0,studio
33,11104,New York,NY,New York,Queens,72,1550.0,1550.0,1650.0,1599.0,1600.0,1650.0,1675.0,1600.0,1600.0,1650.0,1650.0,1600.0,1550.0,studio
35,11432,New York,NY,New York,Queens,52,1395.0,1400.0,1450.0,1399.5,1399.0,1399.0,1382.0,1375.0,1400.0,1375.0,1400.0,1400.0,1400.0,studio
36,10036,New York,NY,New York,New York,46,2500.0,2497.0,2537.5,2550.0,2650.0,2512.5,2625.0,2500.0,2595.0,2550.0,2590.0,2750.0,2597.5,studio
37,10013,New York,NY,New York,New York,62,2950.0,2872.5,3195.0,3310.0,3387.5,3195.0,3310.0,3272.5,2800.0,3017.5,2950.0,2995.0,3025.0,studio
39,11226,New York,NY,New York,Kings,8,1400.0,1400.0,1500.0,1500.0,1595.0,1500.0,1600.0,1500.0,1550.0,1525.0,1675.0,1525.0,1525.0,studio
41,11238,New York,NY,New York,Kings,35,1900.0,1950.0,1900.0,1897.5,1972.5,2000.0,1900.0,1862.5,1900.0,1950.0,1895.0,1850.0,1850.0,studio
42,11106,New York,NY,New York,New York,50,1897.5,1700.0,1675.0,1600.0,1885.0,1845.0,1800.0,1800.0,1750.0,1800.0,1750.0,1850.0,1800.0,studio
43,11375,New York,NY,New York,Queens,9,1525.0,1525.0,1525.0,1500.0,1500.0,1525.0,1588.5,1575.0,1600.0,1550.0,1550.0,1525.0,1537.5,studio
44,11374,New York,NY,New York,Queens,45,1575.0,1575.0,1595.0,1625.0,1605.0,1595.0,1599.0,1600.0,1575.0,1575.0,1650.0,1600.0,1575.0,studio
45,11211,New York,NY,New York,Kings,31,2724.0,2599.0,2489.0,2596.5,2500.0,2599.5,2666.5,2600.0,2600.0,2806.0,2650.0,2465.0,2500.0,studio
47,11101,New York,NY,New York,Queens,65,2247.5,2260.0,2250.0,2222.0,2250.0,2250.0,2250.0,2233.0,2250.0,2225.0,2200.0,2195.0,2195.0,studio
48,11209,New York,NY,New York,Kings,21,1400.0,1400.0,1350.0,1375.0,1400.0,1400.0,1400.0,1399.0,1400.0,1425.0,1400.0,1350.0,1500.0,studio
51,10021,New York,NY,New York,New York,38,1950.0,1950.0,2025.0,1995.0,2000.0,1950.0,1995.0,1962.5,1949.5,1964.5,1900.0,1900.0,1897.5,studio
52,10005,New York,NY,New York,New York,83,2940.0,2940.0,2978.0,2999.0,2924.0,2996.5,2888.0,2881.0,2868.5,2899.0,2860.0,2883.5,2875.0,studio
53,11372,New York,NY,New York,Queens,36,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1550.0,1625.0,1550.0,1550.0,studio
54,10006,New York,NY,New York,New York,87,2785.0,2845.0,2795.0,2820.0,2795.0,2775.0,2800.0,2775.0,2765.0,2775.0,2762.5,2750.0,2769.5,studio
55,10014,New York,NY,New York,New York,40,2895.0,2895.0,2900.0,2850.0,2865.0,2880.0,2845.0,2775.0,2832.5,2850.0,2925.0,2750.0,2895.0,studio
56,10022,New York,NY,New York,New York,51,2262.5,2300.0,2350.0,2325.0,2350.0,2295.0,2250.0,2300.0,2300.0,2325.0,2397.5,2225.0,2250.0,studio
58,10024,New York,NY,New York,New York,23,2200.0,2250.0,2199.0,2200.0,2200.0,2200.0,2100.0,2199.0,2200.0,2200.0,2200.0,2199.0,2199.0,studio
60,10010,New York,NY,New York,New York,48,2595.0,2580.0,2550.0,2500.0,2500.0,2575.0,2650.0,2550.0,2600.0,2500.0,2512.5,2500.0,2530.0,studio
61,11373,New York,NY,New York,Queens,32,1550.0,1550.0,1525.0,1550.0,1550.0,1550.0,1500.0,1505.0,1495.0,1412.5,1535.0,1500.0,1487.0,studio
65,10128,New York,NY,New York,New York,15,1895.0,1895.0,1895.0,1899.0,1895.0,1900.0,1907.5,1895.0,1900.0,1925.0,1875.0,1850.0,1895.0,studio
68,10003,New York,NY,New York,New York,17,2595.0,2595.0,2595.0,2600.0,2595.0,2550.0,2600.0,2550.0,2550.0,2600.0,2595.0,2595.0,2580.0,studio
69,10075,New York,NY,New York,New York,63,1900.0,1899.5,1925.0,1930.0,1895.0,1925.0,1895.0,1950.0,1895.0,1900.0,1897.0,1897.0,1899.0,studio
70,10019,New York,NY,New York,New York,26,2695.0,2698.5,2700.0,2710.0,2690.0,2695.0,2700.0,2722.0,2700.0,2674.0,2669.0,2682.5,2698.5,studio
71,11201,New York,NY,New York,Kings,22,2550.0,2525.0,2471.5,2460.0,2450.0,2465.0,2500.0,2500.0,2600.0,2500.0,2500.0,2377.0,2332.0,studio
72,10017,New York,NY,New York,New York,74,2300.0,2300.0,2300.0,2350.0,2300.0,2300.0,2275.0,2350.0,2300.0,2300.0,2225.0,2200.0,2200.0,studio
73,10016,New York,NY,New York,New York,10,2400.0,2400.0,2400.0,2395.0,2400.0,2400.0,2395.0,2400.0,2400.0,2375.0,2395.0,2300.0,2300.0,studio
74,10023,New York,NY,New York,New York,3,2300.0,2400.0,2340.0,2387.0,2350.0,2395.0,2499.0,2350.0,2350.0,2369.0,2350.0,2300.0,2350.0,studio
76,10009,New York,NY,New York,New York,13,2049.0,2085.0,2050.0,2050.0,2100.0,2050.0,2095.0,2097.5,2050.0,2050.0,2100.0,1975.0,2050.0,studio
79,10002,New York,NY,New York,New York,5,2300.0,2500.0,2375.0,2200.0,2200.0,2250.0,2150.0,2100.0,2150.0,2225.0,2195.0,2150.0,2175.0,studio
82,10025,New York,NY,New York,New York,1,2207.5,2285.0,2351.0,2395.0,2197.5,2300.0,2322.5,2200.0,2250.0,2269.0,2262.5,2125.0,2199.5,studio
83,10028,New York,NY,New York,New York,33,1995.0,2000.0,1995.0,1995.0,1995.0,1995.0,2000.0,1985.0,1975.0,1995.0,1995.0,1912.5,1950.0,studio
84,10012,New York,NY,New York,New York,68,2550.0,2550.0,2600.0,2572.5,2550.0,2550.0,2475.0,2562.5,2595.0,2550.0,2462.5,2350.0,2450.0,studio
85,10011,New York,NY,New York,New York,16,2600.0,2600.0,2600.0,2695.0,2525.0,2700.0,2700.0,2712.5,2550.0,2600.0,2600.0,2597.5,2600.0,studio
86,10065,New York,NY,New York,New York,53,2500.0,2500.0,2500.0,2400.0,2400.0,2350.0,2300.0,2400.0,2420.0,2300.0,2395.0,2250.0,2370.0,studio
